Country,Subject Descriptor,Units,Scale,2013,2014,2015,2016,2017,2018,2019,2020
Brunei Darussalam,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,33.20 ,32.96 ,32.90 ,34.35 ,36.26 ,39.03 ,44.36 ,47.60 
Bulgaria,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,124.89 ,129.10 ,132.59 ,136.71 ,141.88 ,147.69 ,154.37 ,161.64 
Burkina Faso,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,27.82 ,29.42 ,31.18 ,33.44 ,36.25 ,39.43 ,42.95 ,46.77 
Burundi,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,7.90 ,8.41 ,7.88 ,8.39 ,8.91 ,9.55 ,10.25 ,11.02 
Cabo Verde,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,3.22 ,3.33 ,3.48 ,3.65 ,3.85 ,4.09 ,4.35 ,4.63 
Cambodia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,46.12 ,50.16 ,54.17 ,58.75 ,64.07 ,70.19 ,76.92 ,84.28 
Cameroon,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,63.12 ,67.78 ,72.11 ,76.90 ,82.52 ,88.84 ,95.77 ,103.22 
Canada,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,1532.79 ,1595.98 ,1628.41 ,1675.15 ,1745.48 ,1822.89 ,1902.27 ,1982.36 
Central African Republic,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,2.79 ,2.87 ,3.05 ,3.27 ,3.52 ,3.81 ,4.09 ,4.34 
Chad,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,27.28 ,29.64 ,32.00 ,33.75 ,37.14 ,39.77 ,42.73 ,44.88 
Chile,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,396.87 ,410.85 ,424.30 ,440.09 ,460.74 ,484.79 ,511.67 ,540.99 
China,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,16585.00 ,18088.05 ,19509.98 ,20985.63 ,22632.46 ,24506.37 ,26624.52 ,28920.97 
Colombia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,604.56 ,642.47 ,664.98 ,691.54 ,726.20 ,767.61 ,814.92 ,866.48 
Comoros,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,1.15 ,1.19 ,1.21 ,1.26 ,1.32 ,1.40 ,1.49 ,1.58 
"Congo, the Democratic Republic of the",Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,52.07 ,57.78 ,63.27 ,68.69 ,74.64 ,80.90 ,88.03 ,94.60 
Congo,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,26.11 ,28.36 ,28.92 ,31.16 ,33.91 ,35.74 ,35.90 ,36.82 
Costa Rica,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,67.71 ,71.23 ,74.09 ,77.97 ,82.98 ,88.87 ,95.07 ,101.29 
Cote d'Ivoire,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,65.34 ,71.67 ,78.34 ,85.31 ,93.19 ,101.88 ,111.30 ,121.43 
Croatia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,87.62 ,88.73 ,90.33 ,92.31 ,95.48 ,99.44 ,103.61 ,107.76 
Cyprus,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,27.70 ,27.52 ,27.91 ,28.64 ,29.72 ,31.00 ,32.35 ,33.65 
Czech Republic,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,304.73 ,315.86 ,331.44 ,343.93 ,359.05 ,374.41 ,390.83 ,407.94 
Denmark,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,243.98 ,250.68 ,257.15 ,265.30 ,275.54 ,287.34 ,300.01 ,313.30 
Djibouti,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,2.67 ,2.88 ,3.09 ,3.35 ,3.65 ,3.99 ,4.36 ,4.72 
Dominica,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,0.75 ,0.79 ,0.82 ,0.86 ,0.89 ,0.92 ,0.96 ,1.00 
Dominican Republic,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,126.95 ,138.51 ,147.56 ,156.04 ,165.11 ,175.24 ,186.21 ,197.83 
Ecuador,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,171.70 ,181.15 ,181.81 ,184.07 ,188.42 ,194.68 ,201.90 ,210.04 
Egypt,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,911.57 ,946.59 ,995.97 ,1050.74 ,1116.90 ,1193.25 ,1279.60 ,1372.98 
El Salvador,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,49.40 ,51.19 ,52.88 ,54.85 ,57.26 ,59.78 ,62.30 ,64.91 
Equatorial Guinea,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,28.24 ,28.62 ,25.94 ,26.05 ,25.72 ,25.61 ,25.60 ,25.67 
Eritrea,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,7.59 ,7.84 ,7.94 ,8.21 ,8.64 ,9.13 ,9.67 ,10.25 
Estonia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,35.17 ,36.78 ,37.88 ,39.43 ,41.31 ,43.51 ,45.91 ,48.50 
Ethiopia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,129.37 ,145.10 ,159.22 ,174.16 ,190.72 ,209.33 ,229.91 ,252.48 
Fiji,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,6.92 ,7.40 ,7.80 ,8.18 ,8.62 ,9.11 ,9.65 ,10.23 
Finland,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,218.96 ,221.65 ,224.71 ,229.35 ,236.09 ,243.98 ,252.87 ,262.39 
France,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,2544.72 ,2591.17 ,2646.95 ,2717.52 ,2810.45 ,2918.02 ,3036.76 ,3159.80 
Gabon,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,31.04 ,32.91 ,34.41 ,36.54 ,39.07 ,41.97 ,45.16 ,48.66 
Gambia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,3.05 ,3.09 ,3.27 ,3.49 ,3.80 ,4.11 ,4.44 ,4.81 
Georgia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,32.25 ,34.35 ,35.37 ,36.85 ,39.35 ,42.16 ,45.22 ,48.49 
Germany,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,3630.15 ,3748.09 ,3842.00 ,3948.83 ,4078.32 ,4216.02 ,4363.43 ,4514.09 
Ghana,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,102.62 ,108.46 ,113.35 ,121.22 ,134.96 ,147.84 ,158.74 ,168.05 
Greece,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,278.53 ,285.30 ,281.57 ,281.22 ,293.84 ,309.25 ,324.89 ,339.93 
Grenada,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,1.23 ,1.33 ,1.39 ,1.44 ,1.50 ,1.57 ,1.64 ,1.72 
Guatemala,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,113.08 ,119.81 ,125.58 ,131.78 ,138.90 ,146.72 ,155.15 ,164.05 
Guinea,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,14.73 ,15.13 ,15.28 ,16.21 ,17.47 ,18.77 ,19.96 ,21.92 
Guinea-Bissau,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,2.43 ,2.53 ,2.68 ,2.84 ,3.03 ,3.25 ,3.49 ,3.74 
Guyana,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,5.24 ,5.53 ,5.77 ,6.13 ,6.49 ,6.88 ,7.26 ,7.65 
Haiti,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,17.60 ,18.38 ,19.02 ,19.87 ,20.98 ,22.21 ,23.54 ,24.89 
Honduras,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,37.44 ,39.22 ,41.00 ,42.98 ,45.34 ,48.03 ,51.04 ,54.23 
Hong Kong,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,384.28 ,400.36 ,414.48 ,430.68 ,450.26 ,472.72 ,498.06 ,525.55 
Hungary,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,234.73 ,247.11 ,257.02 ,266.58 ,277.47 ,289.11 ,301.60 ,314.57 
Iceland,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,13.85 ,14.34 ,15.17 ,15.93 ,16.70 ,17.53 ,18.38 ,19.22 
India,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,6796.13 ,7411.09 ,8027.03 ,8727.96 ,9549.70 ,10491.11 ,11543.95 ,12706.01 
Indonesia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,2516.06 ,2685.89 ,2838.64 ,3018.89 ,3240.44 ,3498.81 ,3789.33 ,4103.30 
"Iran, Islamic Republic of",Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,1279.52 ,1357.03 ,1381.67 ,1459.05 ,1543.71 ,1641.05 ,1750.21 ,1866.31 
Iraq,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,528.79 ,526.09 ,531.39 ,575.62 ,633.14 ,695.28 ,763.87 ,836.13 
Ireland,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,221.08 ,236.40 ,250.29 ,262.95 ,276.07 ,290.13 ,304.53 ,318.99 
Israel,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,261.05 ,272.11 ,281.76 ,294.42 ,309.15 ,324.84 ,341.40 ,358.77 
Italy,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,2109.84 ,2135.36 ,2173.60 ,2227.64 ,2292.55 ,2365.39 ,2442.16 ,2519.77 
Jamaica,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,23.62 ,24.10 ,24.60 ,25.41 ,26.49 ,27.75 ,29.12 ,30.55 
Japan,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,4694.85 ,4767.16 ,4842.40 ,4949.22 ,5057.90 ,5196.09 ,5357.54 ,5512.22 
Jordan,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,76.25 ,79.91 ,82.99 ,87.13 ,92.63 ,98.79 ,105.48 ,112.60 
Kazakhstan,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,396.18 ,420.01 ,430.50 ,445.87 ,470.87 ,499.77 ,532.05 ,568.05 
Kenya,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,124.25 ,133.02 ,143.05 ,154.60 ,168.30 ,183.78 ,200.88 ,219.33 
Kiribati,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,0.18 ,0.19 ,0.20 ,0.20 ,0.21 ,0.22 ,0.23 ,0.24 
Korea,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,1698.88 ,1783.95 ,1849.40 ,1930.48 ,2034.72 ,2150.75 ,2276.21 ,2408.30 
Kosovo,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,16.20 ,16.92 ,17.63 ,18.52 ,19.62 ,20.84 ,22.17 ,23.57 
Kuwait,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,277.69 ,282.64 ,288.76 ,299.56 ,313.07 ,328.20 ,345.17 ,362.97 
Kyrgyzstan,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,18.26 ,19.23 ,19.81 ,20.77 ,22.11 ,23.65 ,25.43 ,27.36 
Lao People's Democratic Republic,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,31.63 ,34.53 ,37.50 ,40.96 ,44.80 ,49.01 ,53.77 ,58.97 
Latvia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,46.48 ,48.36 ,49.89 ,52.16 ,55.05 ,58.37 ,61.98 ,65.86 
Lebanon,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,78.53 ,81.42 ,83.86 ,86.98 ,91.15 ,95.82 ,101.81 ,108.17 
Lesotho,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,5.30 ,5.58 ,5.78 ,6.02 ,6.40 ,6.89 ,7.29 ,7.72 
Liberia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,3.63 ,3.71 ,3.78 ,4.04 ,4.39 ,4.81 ,5.27 ,5.79 
Libya,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,126.84 ,97.94 ,92.88 ,95.83 ,103.34 ,114.42 ,127.76 ,148.15 
Lithuania,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,76.39 ,79.93 ,82.14 ,85.30 ,89.41 ,94.27 ,99.65 ,105.45 
Luxembourg,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,50.01 ,53.67 ,56.58 ,59.18 ,62.13 ,65.33 ,68.78 ,72.39 
"Macedonia, the former Yugoslav Republic of",Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,26.29 ,27.72 ,28.89 ,30.17 ,31.71 ,33.46 ,35.42 ,37.56 
Madagascar,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,32.43 ,34.05 ,35.56 ,37.64 ,40.02 ,42.68 ,45.57 ,48.88 
Malawi,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,18.22 ,19.58 ,20.56 ,21.84 ,23.40 ,25.20 ,27.29 ,29.55 
Malaysia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,714.21 ,769.45 ,813.52 ,860.23 ,918.98 ,984.76 ,1056.46 ,1133.20 
Maldives,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,4.22 ,4.55 ,4.73 ,4.94 ,5.22 ,5.56 ,5.94 ,6.36 
Mali,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,25.23 ,27.50 ,29.15 ,30.99 ,33.10 ,35.30 ,37.70 ,40.26 
Malta,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,13.42 ,14.12 ,14.75 ,15.45 ,16.18 ,16.98 ,17.82 ,18.67 
Marshall Islands,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,0.18 ,0.18 ,0.19 ,0.19 ,0.20 ,0.21 ,0.22 ,0.22 
Mauritania,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,14.38 ,15.62 ,16.43 ,17.68 ,18.94 ,20.18 ,21.63 ,22.99 
Mauritius,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,22.34 ,23.53 ,24.51 ,25.74 ,27.12 ,28.67 ,30.36 ,32.13 
Mexico,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,2069.84 ,2148.88 ,2220.13 ,2309.50 ,2423.25 ,2552.73 ,2694.48 ,2844.37 
"Micronesia, Federated States of",Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,0.31 ,0.31 ,0.31 ,0.32 ,0.33 ,0.34 ,0.35 ,0.36 
"Moldova, Republic of",Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,16.72 ,17.78 ,17.78 ,18.26 ,19.13 ,20.21 ,21.47 ,22.81 
Mongolia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,31.83 ,34.87 ,36.43 ,38.19 ,40.28 ,43.66 ,47.54 ,53.00 
Montenegro,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,9.14 ,9.43 ,9.83 ,10.44 ,10.91 ,11.46 ,11.89 ,12.55 
Morocco,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,249.03 ,259.24 ,274.53 ,287.96 ,307.01 ,329.06 ,353.81 ,381.00 
Mozambique,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,28.60 ,31.21 ,33.73 ,36.93 ,40.54 ,44.68 ,49.26 ,59.15 
Myanmar,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,221.65 ,244.37 ,267.74 ,293.67 ,323.70 ,356.62 ,392.33 ,431.65 
Namibia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,22.11 ,23.48 ,24.84 ,26.40 ,28.54 ,30.81 ,32.89 ,35.07 
Nepal,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,62.68 ,67.14 ,70.08 ,74.02 ,79.35 ,84.15 ,89.25 ,94.60 
Netherlands,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,787.75 ,808.80 ,831.41 ,856.99 ,888.83 ,923.98 ,962.52 ,1004.15 
New Zealand,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,153.14 ,160.80 ,165.99 ,172.03 ,179.30 ,187.57 ,196.45 ,205.80 
Nicaragua,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,27.90 ,29.69 ,31.18 ,32.89 ,34.80 ,36.94 ,39.25 ,41.70 
Niger,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,16.57 ,18.00 ,18.96 ,20.23 ,22.24 ,24.42 ,26.81 ,29.86 
Nigeria,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,974.44 ,1052.94 ,1105.34 ,1166.41 ,1240.59 ,1325.81 ,1421.20 ,1525.91 
Norway,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,333.38 ,346.34 ,352.78 ,361.48 ,373.75 ,388.73 ,405.18 ,422.33 
Oman,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,155.74 ,162.97 ,171.75 ,178.74 ,185.52 ,191.93 ,198.46 ,204.69 
Pakistan,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,836.27 ,884.23 ,930.76 ,984.21 ,1046.42 ,1123.45 ,1207.57 ,1297.76 
Palau,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,0.24 ,0.25 ,0.26 ,0.27 ,0.29 ,0.30 ,0.31 ,0.32 
Panama,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,71.12 ,76.77 ,82.18 ,88.40 ,95.88 ,104.70 ,113.71 ,123.13 
Papua New Guinea,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,16.86 ,18.60 ,21.09 ,21.98 ,23.06 ,24.27 ,25.58 ,26.97 
Paraguay,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,55.15 ,58.49 ,60.85 ,63.93 ,67.72 ,71.98 ,76.53 ,81.35 
Peru,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,358.25 ,372.69 ,385.38 ,402.82 ,432.56 ,464.40 ,494.96 ,525.89 
Philippines,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,642.80 ,693.42 ,742.25 ,798.39 ,865.19 ,940.42 ,1023.40 ,1113.55 
Poland,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,912.89 ,959.85 ,1003.46 ,1050.95 ,1107.59 ,1170.57 ,1238.68 ,1310.88 
Portugal,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,274.36 ,281.36 ,288.55 ,296.49 ,305.88 ,316.07 ,326.68 ,337.57 
Qatar,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,290.12 ,306.62 ,324.17 ,344.25 ,364.85 ,385.90 ,407.27 ,427.62 
Romania,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,376.91 ,393.83 ,411.08 ,432.02 ,454.50 ,478.50 ,504.57 ,532.59 
Russian Federation,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,3498.04 ,3576.84 ,3473.78 ,3493.04 ,3589.46 ,3718.15 ,3855.93 ,3998.15 
Rwanda,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,17.39 ,18.90 ,20.32 ,22.00 ,24.06 ,26.40 ,29.00 ,31.84 
Samoa,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,0.96 ,1.00 ,1.03 ,1.06 ,1.07 ,1.10 ,1.14 ,1.19 
San Marino,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,1.90 ,1.91 ,1.95 ,2.00 ,2.06 ,2.13 ,2.20 ,2.28 
S†o Tom_ and PrÍncipe,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,0.59 ,0.63 ,0.66 ,0.71 ,0.76 ,0.82 ,0.89 ,0.96 
Saudi Arabia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,1530.54 ,1609.63 ,1681.18 ,1738.76 ,1819.96 ,1913.52 ,2015.68 ,2124.53 
